Current Position Requirments,Current Position,Alternative 1,Alternative 2
From 1 to 5 years of experience in Android development; Fast learner; Good team player with the ability to accept criticism; Experience in streaming and SIP technologies is a plus.,Android Developer,iOS Developer,Software Engineer
"University degree in the appropriate field of studies; At least 1 year of practical experience; Good knowledge of PHP; Good knowledge of OOP principles; Good knowledge of DHTML (JavaScript, CSS2, CSS3, HTML4 and HTML5); Good knowledge of other programming languages, such as Ruby and Python; Experience in developing pages for iOS is a big plus; Experience in working on Photoshop or Corel Draw is a big plus; Experience with working in Linux environment (Ubuntu and Suse) is preferable; Good analytical skills; Ability to work in a team; Excellent knowledge of English language, both communication and technical level.",PHP Developer,Web Developer,Software Developer
"At least 3 years of experience with PHP and JavaScript; Understanding of the concept of Domain Driven Design; Understanding of the concept of Test Driven Development; Understanding of the concept of Agile/ Scrum development; Experience with modern PHP frameworks like Symfony2, Zend Framework, Laravel or CakePHP; Experience with modern JavaScript frameworks like Backbone.js, Angular.js and/ or Marionette.js.; Understanding the concept of Continuous Integration and Continuous Delivery; Communication skills in both verbal and written English language; Experience working with tradition and noSQL databases.",Web Developer,Software Engineer,PHP Developer
"At least 3 years of work experience as a Java Software Developer; English language proficiency in both written and verbal communications; Knowledge of Java 7, Spring Framework, Hibernate, JMS, Wicket (or preparedness to learn it) and SQL; Knowledge of Unix OS, shell scripting and command-line; Critical thinking skills and love for solving problems; Good communication skills; Patience, persistence and technical curiosity; Positive attitude to a collegial, collaborative work environment; Experience with eCommerce and/ or order fulfillment systems is a privilege.",Java Developer,Software Engineer,Software Developer
"Bachelor??s degree in Engineering or Information technology; 3 years of work experience as a software developer with .NET technologies; Knowledge of Object-oriented programming, OOD, Design Patterns and SOA; Fully competent and fluent with C# and .NET framework; Knowledge of Web Services (WCF, REST/SOAP/XML-RPC); Understanding of SMPP protocol, SSL, https, Asymmetric encryption/ decryption, certificates; Experience with IIS web server, preferable IIS 7.0; Knowledge of Windows services, multithreading, network programming (sockets/ protocols); Very good understanding of ADO.NET Technology and experience with T-SQL, PL/SQL; Experience in ASP.NET and/or PHP is a plus; VAS applications and services design and implementation skills; Database architecture design skills; Knowledge of MSSQL, MySQL and Oracle; Open source systems/ packages and application analysis, configuration, compilation, installation, modification and maintenance skills; Ability to organize and manage multiple assignments within critical deadlines; Good knowledge of Armenian, English and Russian languages.",Software Engineer,Software Developer,Web Developer
"At least 3 years of experience as a PHP Developer; Expert skills in PHP, MYSQL, HTML, CSS; Skills in AJAX and JavaScript is a plus; Problem solving skills; Knowledge of technical English language.",PHP Developer,Web Developer,Java Developer
"B.S. in Computing Science; At least 3 years of work experience in Android; At least 3 years of work experience in Java; At least 2 years of work experience in SQL database design and programming; Strong skills with multi-threading and asynchronous programming; Strong skills with Android/ Java utilities for Web Service client development (SOAP, REST, JSON); Proficiency in OOP/ OOD and good knowledge of design patterns; Knowledge and experience in WCF, Asp.Net Web API is a plus; Mastery of technical English language; Good communication skills; Good team player, ability to accept criticism; Ability to work in a fast-paced and dynamic environment, be flexible and adapt to changing requirements and customer requests.",Android Developer,Java Developer,PHP Developer
"University degree in Computer Sciences; Knowledge of Linux/ Windows Operating Systems; Knowledge of Voice over IP (Asterisk); At least 3 years of professional work experience in a related field;  Good communication skills; Knowledge of Russian and English languages is preferable; Ability to work under pressure; Aptitude for learning new technical skills quickly; Strong analytical, planning, project management, supervision, team building, and problem solving abilities; Ability to prioritize and manage multiple projects and activities within time, budget and technical constraints; Ability to analyze work processes and procedures for improvement opportunities.",IT Specialist,Software Developer,Web Developer
"At least 2 years of work experience as a Software Developer; At least 2 years of work experience as an Android Developer; Excellent knowledge of Java and OOP; Excellent knowledge of Android SDK; Knowledge of SQLite database (creating databases and writing queries); Good knowledge of (X)HTML, CSS, JavaScript and XML; Build environment: Knowledge of Maven and Eclipse; OS: Knowledge of Linux Ubuntu; Good knowledge of Linux Operating System: system administration; Ability to work on project with a development team; Problem solving skills; Good communication skills; Good knowledge of English language.",Android Developer,Java Developer,PHP Developer
Master's degree in Computer Sciences; Minimum 1 year of work experience; Knowledge of MS SQL2000 Package; Good command of Russian language; Knowledge of CLARION is an asset; Punctuality and accuracy in work.,IT Specialist,Software Developer,Java Developer
